Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Ryan O'Rourke","NYM",1,3,0,0,0,0,0,0,0,2,0,0,0,0,0.66666667,0,0.4601963361104329,10976
"Total","Vince Velasquez","PHI",4,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.21740181744098663,11189
"Total","Grant Dayton","ATL",2,1,9,1,0,0,2,1,1,0,0,0,0,1,1,4,1.9395360946655273,11203
"Total","Casey Sadler","LAD",4,9,0,0,0,0,0,0,0,2,2,0,2,0,0.25,0,0,11209
"Total","Tyler Lyons","2 Tms",5,13,10.12499999,3,1,0,3,3,1,2,0,0,5,0.27272727,0.38461538,0.63636364,0.4158766590631925,11334
"Total","Tommy Kahnle","NYY",19,32,6.75,5,3,0,7,7,2,2,0,1,14,0.17241379,0.25,0.48275862,0.3009021785110235,11384
"Total","Jose Quintana","CHC",1,8,0,2,1,0,2,0,0,1,0,0,3,0.28571429,0.375,0.42857143,0.34707074612379074,11423
"Total","Drew Pomeranz","MIL",12,23,6.75,4,1,0,4,4,1,4,0,0,11,0.22222222,0.34782609,0.44444444,0.3328953411268151,11426
"Total","Brandon Workman","BOS",34,109,4.55844156,13,2,0,15,13,1,23,4,0,39,0.1547619,0.33333333,0.21428571,0.2517743534766711,11428
"Total","Jesse Biddle","2 Tms",8,17,10.79999998,5,0,0,5,2,0,7,0,0,1,0.55555556,0.70588235,0.55555556,0.5400057575281929,11437
"Total","Matt Grace","WSN",11,14,12,5,2,0,5,4,0,0,0,1,3,0.41666667,0.46153846,0.58333333,0.44318200991703915,11449
"Total","A.J. Cole","CLE",6,14,10.12499999,5,1,0,3,3,0,2,0,0,1,0.5,0.53846154,0.6,0.4673601755729088,11467
"Total","Josh Osich","CHW",11,21,4.76470588,3,0,0,3,3,1,2,1,0,5,0.15789474,0.23809524,0.31578947,0.2184522569179535,11528
"Total","Jose Urena","MIA",8,26,12.6,9,1,0,7,7,2,2,0,0,5,0.375,0.42307692,0.66666667,0.4497680388964139,11589
"Total","Dovydas Neverauskas","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11604
"Total","Heath Hembree","BOS",9,19,1.8,3,2,0,1,1,0,1,0,1,6,0.17647059,0.26315789,0.29411765,0.24802347860838236,11632
"Total","Carlos Martinez","STL",26,71,7.13207547,18,3,0,14,14,0,4,0,0,22,0.27272727,0.30985915,0.31818182,0.2740180232155491,11682
"Total","Tayron Guerrero","MIA",13,18,22.09090907,6,1,0,9,9,2,2,0,0,1,0.375,0.44444444,0.8125,0.5047304001119401,11691
"Total","Nick Kingham","2 Tms",4,8,4.5,2,0,0,1,1,0,1,0,0,1,0.28571429,0.375,0.28571429,0.3036886304616928,11694
"Total","Sam Dyson","2 Tms",19,41,4.5,9,4,0,6,5,0,4,0,1,6,0.26470588,0.35897436,0.38235294,0.32551505321111435,11710
"Total","Luke Jackson","ATL",34,104,3.24,23,3,0,11,9,0,8,2,1,34,0.24468085,0.31067961,0.27659574,0.256466543910527,11752
"Total","Kyle Ryan","CHC",23,32,8.2173913,8,0,0,7,7,1,3,0,0,4,0.2962963,0.34375,0.40740741,0.31555220298469067,11753
