"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kirby Snead","OAK","4.91","6.75","0.73","0.61","11.1%","15.3%","-4.2%",".344","2.18",".385","65.4%","200","134","174","7.36","5.16","2.20","6.82","6.38","19179"
"Jose Berrios","TOR","7.24","2.38","3.05","1.84","18.3%","6.0%","12.3%",".286","1.43",".314","71.1%","144","131","110","5.72","5.17","0.56","4.40","4.32","14168"
"Sean Reid-Foley","NYM","7.20","6.30","1.14","0.90","18.2%","15.9%","2.3%",".194","1.40",".222","66.2%","138","132","147","5.40","5.22","0.18","6.00","5.36","17034"
"Ryan Hendrix","CIN","10.80","10.80","1.00","0.00","22.2%","22.2%","0.0%",".385","2.70",".556","70.0%","184","124","139","8.10","5.22","2.88","5.66","5.47","19535"
"Marco Gonzales","SEA","5.03","3.29","1.53","1.44","13.0%","8.5%","4.5%",".246","1.32",".251","78.3%","90","136","124","3.29","5.24","-1.95","4.93","5.16","15467"
"Joan Adon","WSN","7.42","5.34","1.39","1.19","17.3%","12.5%","4.8%",".283","1.75",".328","62.5%","164","128","126","6.97","5.26","1.71","5.09","5.10","22925"
"Austin Adams","SDP","7.71","11.57","0.67","0.00","22.2%","33.3%","-11.1%",".000","1.29",".000","100.0%","0","131","129","0.00","5.26","-5.26","5.26","7.50","13801"
"Ryan Borucki","- - -","9.64","3.86","2.50","1.93","23.4%","9.4%","14.1%",".281","1.57",".333","69.1%","166","135","91","6.43","5.26","1.17","3.65","3.50","16350"
"Pedro Baez","HOU","7.71","11.57","0.67","0.00","12.5%","18.8%","-6.3%",".385","3.43",".455","25.0%","309","134","200","11.57","5.26","6.31","7.82","6.53","5420"
"Louis Head","MIA","8.75","4.18","2.09","1.52","20.7%","9.9%","10.8%",".271","1.56",".319","62.1%","181","134","131","7.23","5.27","1.95","5.34","4.35","13259"
"Luis Cessa","CIN","7.58","3.34","2.27","1.82","19.1%","8.4%","10.7%",".303","1.58",".341","60.6%","152","125","101","6.67","5.27","1.40","4.05","3.82","13345"
"Chi Chi Gonzalez","- - -","5.50","1.50","3.67","2.00","14.7%","4.0%","10.7%",".306","1.39",".316","67.0%","149","131","104","6.00","5.28","0.72","4.22","4.39","14663"
