"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"58",663989,"Vespi, Nick","177","32.8","0.143","0.000","0.222","0.143","0.126","0.300","0.317","2","14","83.7","5.6","2427","84.0","83.08","15","35","23","-0.9","5.78","110","157","109","149","310","321","292"
"58",605488,"Springs, Jeffrey","940","6.2","0.091","0.000","0.167","0.091","0.174","0.186","0.102","1","11","83.7","24.7","1840","85.8","85.65","16","33","25","-0.2","6.49","110","155","117","150","300","325","304"
"58",621248,"Garza Jr., Ralph","419","13.8","0.333","0.467","0.250","0.800","0.524","0.522","0.363","5","15","86.9","14.1","2136","83.3","82.87","5","26","32","-0.4","6.06","102","152","113","147","302","324","291"
"58",641582,"Foster, Matt","524","11.1","0.231","0.077","0.333","0.308","0.266","0.291","0.264","3","13","83.6","23.8","2221","90.3","90.19","9","31","27","-0.1","6.24","107","144","107","142","291","315","296"
"56",545343,"Head, Louis","447","12.5","0.417","0.167","0.714","0.583","0.432","0.438","0.405","5","12","91.6","19.9","2449","87.2","87.11","12","29","27","-0.1","6.16","103","151","119","149","307","321","297"
"54",669276,"Lee, Dylan","224","24.1","0.267","0.200","0.231","0.467","0.315","0.417","0.368","4","15","90.1","13.1","2141","86.5","86.88","14","33","21","0.4","6.54","116","154","135","142","305","325","304"
"54",501625,"Álvarez, José","273","19.8","0.313","0.375","0.300","0.688","0.424","0.528","0.369","5","16","84.8","-8.8","1842","85.6","86.04","8","31","23","0.4","6.49","102","146","113","145","296","321","294"
"54",642130,"Taylor, Blake","305","17.7","0.182","0.273","0.125","0.455","0.304","0.285","0.227","2","11","90.3","6.4","2313","89.9","90.56","3","23","31","0.7","6.71","111","149","108","146","286","320","293"
"53",571670,"Floro, Dylan","296","17.9","0.400","0.067","0.500","0.467","0.379","0.296","0.304","6","15","89.2","5.3","2026","89.0","88.61","7","25","28","-0.4","6.35","100","147","116","149","296","312","284"
"53",669424,"Lambert, Jimmy","286","18.5","0.100","0.100","0.125","0.200","0.163","0.259","0.200","1","10","90.1","15.6","2270","89.3","88.58","7","29","24","-0.7","5.83","113","147","116","148","298","328","303"
"51",681810,"Warren, Austin","175","29.1","0.333","0.267","0.364","0.600","0.399","0.483","0.350","5","15","97.6","12.9","2361","90.7","90.89","1","20","31","0.2","6.41","120","153","116","152","296","325","294"
"51",668868,"Thompson, Zack","306","16.7","0.200","0.000","0.333","0.200","0.224","0.188","0.151","2","10","87.7","-16.3","2407","84.5","84.75","4","24","27","0.3","6.57","115","158","120","154","305","329","295"
"50",670036,"Festa, Matthew","372","13.4","0.300","0.000","0.429","0.300","0.339","0.277","0.203","3","10","82.1","22.9","2493","87.2","87.18","7","23","27","0.0","6.27","111","144","107","140","287","315","288"
"50",543056,"Coulombe, Danny","230","21.7","0.222","0.000","0.250","0.222","0.320","0.379","0.291","2","9","84.8","14.4","2418","85.1","83.94","5","23","27","-1.2","5.66","102","150","114","143","299","327","288"
"49",660787,"De Los Santos, Yerry","210","23.3","0.250","0.000","0.273","0.250","0.257","0.234","0.209","3","12","88.0","6.8","2157","89.0","89.72","1","21","28","0.7","6.70","111","157","110","150","296","321","299"
"49",664944,"Vieaux, Cam","137","35.8","0.333","0.111","0.600","0.444","0.404","0.344","0.212","3","9","82.7","16.2","2351","84.3","83.78","8","21","28","-0.5","5.94","111","148","111","149","299","327","298"
